pattern,Plasma,S,I,R,Reference,Aggregate,Median,num_fold
Epsilon,CP_Patient,34,34,34,Faulkner21,False,2.5,102
Epsilon,CP_Patient_M3,34,34,34,Faulkner21,False,1.7,102
Epsilon,CP_Severe,180,180,180,Rees-Spear21,False,1,540
Epsilon,CP_Severe,50,0,0,Saade21,True,1.75,50
Epsilon,CP_Strasbourg,78,78,78,Planas21b,False,1.4,234
Epsilon,CP_VAC_recovered,22,22,22,Jalkanen21,False,1,66
Epsilon,CP_WT_mice,7,7,7,Weigang21,False,2.3,21
Epsilon,CP_Wildtype,40,40,40,Collier21,False,3.3,120
Epsilon,CP_acute,60,60,60,Edara21,False,0.8,180
Epsilon,CP_acute,19,19,19,Edara21b,False,4.7,57
Epsilon,CP_first_wave,31,62,31,Tea21,True,4.0,124
Epsilon,CP_high_titer,131,131,131,Alenquer21,False,2.4,393
Epsilon,CP_high_titer,44,44,44,Wibmer21,False,14,132
Epsilon,CP_hosp,56,28,0,Caniels21,True,2.4,84
Epsilon,CP_infected,10,10,10,Goel21,False,2.9,30
Epsilon,CP_low_titer,123,123,123,Alenquer21,False,1.9,369
Epsilon,CP_low_titer,44,44,44,Wibmer21,False,8.5,132
Epsilon,CP_medium_titer,78,78,78,Alenquer21,False,1.8,234
Epsilon,CP_non-hosp,41,82,0,Caniels21,True,3.0,123
Epsilon,CP_recovered,26,26,26,Geers21,False,0.6,78
Epsilon,IVIG,24,24,24,Tang21,False,3.6,72
Gamma,BNT_infected,24,24,24,Reynolds21,False,14,72
Gamma,BNT_infected,0,24,0,Reynolds21,True,8.5,24
Gamma,CP,60,60,60,Andreano21,False,2.7,180
Gamma,CP,0,20,0,Annavajhala21b,True,4.1,20
Gamma,CP,20,0,0,Annavajhala21b,True,2.6,20
Gamma,CP,16,16,16,Arora21,False,2.4,48
Gamma,CP,86,86,86,Bates21,False,1,258
Gamma,CP,6,6,6,Becker21,False,5.5,18
Gamma,CP,214,107,0,Betton21,True,1.0,321
Gamma,CP,13,13,13,Brown21,False,0.8,39
Gamma,CP,244,244,244,Cantoni21,False,2.7,732
Gamma,CP,13,13,13,Cele21,False,8.5,39
Gamma,CP,105,105,105,Chen21,False,2.4,315
Gamma,CP,37,37,37,Collier21,False,1.7,111
Gamma,CP,34,34,34,Dejnirattisai21,False,3,102
Gamma,CP,36,36,36,Deng21,False,2,108
Gamma,CP,6,6,0,Diez21,True,3.15,12
Gamma,CP,315,315,315,Dupont21,False,2.1,945
Gamma,CP,60,60,60,Edara21,False,0.6,180
Gamma,CP,30,30,30,Edara21b,False,5.1,90
Gamma,CP,48,48,48,Edara21c,False,4.1,144
Gamma,CP,11,11,11,Graham21,False,2,33
Gamma,CP,50,50,50,Greaney21,False,1.7,150
Gamma,CP,48,48,48,Greaney21c,False,2,144
Gamma,CP,27,27,27,Hoffmann21,False,3,81
Gamma,CP,14,14,14,Hoffmann21b,False,2.1,42
Gamma,CP,30,30,30,Hoffmann21c,False,2.5,90
Gamma,CP,40,40,40,Hu21c,False,1.7,120
Gamma,CP,68,68,68,Imai21,False,1,204
Gamma,CP,150,150,150,Jalkanen21,False,1,450
Gamma,CP,30,30,30,Jangra21,False,2.5,90
Gamma,CP,9,9,9,Kemp21,False,1.3,27
Gamma,CP,20,20,20,Kuzmina21,False,2.9,60
Gamma,CP,20,10,0,Leier21,True,1.5,30
Gamma,CP,820,820,820,Li20h,False,1.1,2460
Gamma,CP,270,36,0,Li21c,True,0.9,306
Gamma,CP,240,240,240,Li21d,False,3.1,720
Gamma,CP,186,186,186,Liu21,False,1.6,558
Gamma,CP,64,64,64,Liu21f,False,3.0,192
Gamma,CP,64,64,64,Liu21h,False,1.5,192
Gamma,CP,30,30,30,Marot21,False,4,90
Gamma,CP,30,15,15,Marot21,True,4.3,60
Gamma,CP,36,36,36,McCallum21b,False,7,108
Gamma,CP,12,24,0,Mlcochova21,True,6.2,36
Gamma,CP,44,44,44,Moyo-Gwete21,False,15,132
Gamma,CP,580,580,580,Muecksch21b,False,2.4,1740
Gamma,CP,18,18,18,Riou21,False,13,54
Gamma,CP,12,12,12,Rondinone21,False,1,36
Gamma,CP,34,0,0,Saade21,True,0.7,34
Gamma,CP,19,19,19,Sapkal21,False,1,57
Gamma,CP,180,180,180,Shen21,False,1.3,540
Gamma,CP,56,56,56,Shen21b,False,3.7,168
Gamma,CP,30,30,30,Stamatatos21,False,4.1,90
Gamma,CP,9,9,9,Stankov21,False,1,27
Gamma,CP,34,34,34,Supasa21,False,2.5,102
Gamma,CP,155,155,155,Tada21,False,0.9,465
Gamma,CP,10,0,0,Tada21,True,1.8,10
Gamma,CP,80,80,80,Tada21c,False,2.0,240
Gamma,CP,56,56,56,Tada21d,False,1.6,168
Gamma,CP,112,112,112,Tada21e,False,2.2,336
Gamma,CP,72,72,72,Tang21,False,2.8,216
Gamma,CP,192,192,192,Trinite21,False,1.1,576
Gamma,CP,42,84,0,Trombetta21,True,3.5,126
Gamma,CP,56,56,56,Uriu21,False,4.0,168
Gamma,CP,60,90,30,Vacharathit21,True,8.0,180
Gamma,CP,20,0,0,Vicenti21,True,0.6,20
Gamma,CP,42,21,0,Vidal21,True,1.3,63
Gamma,CP,125,125,125,Virtanen21,False,1,375
Gamma,CP,400,400,400,Wang21b,False,1.4,1200
Gamma,CP,40,40,40,Wang21d,False,2.1,120
Gamma,CP,240,240,240,Wang21f,False,1,720
Gamma,CP,102,102,102,Wang21g,False,1.0,306
Gamma,CP,9,9,9,Weigang21,False,2.4,27
Gamma,CP,52,52,52,Weisblum20,False,2.3,156
Gamma,CP,80,80,80,Widera21,False,2,240
Gamma,CP,20,20,0,Wilhelm21,True,2.85,40
Gamma,CP,20,20,0,Wilhelm21,True,3.0,40
Gamma,CP,90,20,0,Wilson21,True,1.4,110
Gamma,CP,40,40,40,Yadav21b,False,2.4,120
Gamma,CP,90,90,90,Yi21,False,1.8,270
Gamma,CP,80,5,0,Zhang21c,True,1.3,85
Gamma,CP,34,34,34,Zhou21b,False,11,102
Gamma,CP,18,18,18,Zhou21c,False,3.2,54
Gamma,CP,42,42,42,deSouza21,False,11,126
Gamma,CP_1.3M,20,20,20,West21,False,3,60
Gamma,CP_1M,40,40,40,Hu21,False,3.8,120
Gamma,CP_2M,100,100,100,Li21c,False,1,300
Gamma,CP_5M,100,100,100,Li21c,False,1,300
Gamma,CP_6M,30,30,30,Edara21b,False,2,90
Gamma,CP_6M,65,65,65,Virtanen21,False,1,195
Gamma,CP_6M,20,20,20,West21,False,3.2,60
Gamma,CP_8M,40,40,40,Hu21,False,4.2,120
Gamma,CP_8M,100,100,100,Li21c,False,1,300
Gamma,CP_Asymptomatic,24,24,24,Skelly21,False,10,72
Gamma,CP_B.1.1.117+S:484K,1,1,1,Cele21,False,0.6,3
Gamma,CP_BNT_infected,16,16,16,Turner21,False,1.5,48
Gamma,CP_BNT_uninfected,36,36,36,Turner21,False,1,108
Gamma,CP_M3,56,56,56,Planas21,False,1.5,168
Gamma,CP_M6,50,50,50,Planas21,False,1.5,150
Gamma,CP_M9,60,60,60,Planas21,False,1.2,180
Gamma,CP_Mild,40,40,40,Faulkner21,False,4.1,120
Gamma,CP_Mild,180,180,180,Rees-Spear21,False,1.2,540
Gamma,CP_Mild,58,0,0,Saade21,True,2.0,58
Gamma,CP_Mild,24,24,24,Skelly21,False,8.1,72
Gamma,CP_Orleans,42,42,42,Planas21b,False,1.3,126
Gamma,CP_Patient,34,34,34,Faulkner21,False,2.5,102
Gamma,CP_Patient_M3,34,34,34,Faulkner21,False,1.7,102
Gamma,CP_Severe,180,180,180,Rees-Spear21,False,1,540
Gamma,CP_Severe,50,0,0,Saade21,True,1.75,50
Gamma,CP_Strasbourg,78,78,78,Planas21b,False,1.4,234
Gamma,CP_VAC_recovered,22,22,22,Jalkanen21,False,1,66
Gamma,CP_WT_mice,7,7,7,Weigang21,False,2.3,21
Gamma,CP_Wildtype,40,40,40,Collier21,False,3.3,120
Gamma,CP_acute,60,60,60,Edara21,False,0.8,180
Gamma,CP_acute,19,19,19,Edara21b,False,4.7,57
Gamma,CP_first_wave,31,62,31,Tea21,True,4.0,124
Gamma,CP_high_titer,131,131,131,Alenquer21,False,2.4,393
Gamma,CP_high_titer,44,44,44,Wibmer21,False,14,132
Gamma,CP_hosp,56,28,0,Caniels21,True,2.4,84
Gamma,CP_infected,10,10,10,Goel21,False,2.9,30
Gamma,CP_low_titer,123,123,123,Alenquer21,False,1.9,369
Gamma,CP_low_titer,44,44,44,Wibmer21,False,8.5,132
Gamma,CP_medium_titer,78,78,78,Alenquer21,False,1.8,234
Gamma,CP_non-hosp,41,82,0,Caniels21,True,3.0,123
Gamma,CP_recovered,26,26,26,Geers21,False,0.6,78
Gamma,IVIG,24,24,24,Tang21,False,3.6,72
Iota,BNT_infected,24,24,24,Reynolds21,False,14,72
Iota,BNT_infected,0,24,0,Reynolds21,True,8.5,24
Iota,CP,60,60,60,Andreano21,False,2.7,180
Iota,CP,0,20,0,Annavajhala21b,True,4.1,20
Iota,CP,20,0,0,Annavajhala21b,True,2.6,20
Iota,CP,16,16,16,Arora21,False,2.4,48
Iota,CP,86,86,86,Bates21,False,1,258
Iota,CP,6,6,6,Becker21,False,5.5,18
Iota,CP,214,107,0,Betton21,True,1.0,321
Iota,CP,13,13,13,Brown21,False,0.8,39
Iota,CP,244,244,244,Cantoni21,False,2.7,732
Iota,CP,13,13,13,Cele21,False,8.5,39
Iota,CP,105,105,105,Chen21,False,2.4,315
Iota,CP,37,37,37,Collier21,False,1.7,111
Iota,CP,34,34,34,Dejnirattisai21,False,3,102
Iota,CP,36,36,36,Deng21,False,2,108
Iota,CP,6,6,0,Diez21,True,3.15,12
Iota,CP,315,315,315,Dupont21,False,2.1,945
Iota,CP,60,60,60,Edara21,False,0.6,180
Iota,CP,30,30,30,Edara21b,False,5.1,90
Iota,CP,48,48,48,Edara21c,False,4.1,144
Iota,CP,11,11,11,Graham21,False,2,33
Iota,CP,50,50,50,Greaney21,False,1.7,150
Iota,CP,48,48,48,Greaney21c,False,2,144
Iota,CP,27,27,27,Hoffmann21,False,3,81
Iota,CP,14,14,14,Hoffmann21b,False,2.1,42
Iota,CP,30,30,30,Hoffmann21c,False,2.5,90
Iota,CP,40,40,40,Hu21c,False,1.7,120
Iota,CP,68,68,68,Imai21,False,1,204
Iota,CP,150,150,150,Jalkanen21,False,1,450
Iota,CP,30,30,30,Jangra21,False,2.5,90
Iota,CP,9,9,9,Kemp21,False,1.3,27
Iota,CP,20,20,20,Kuzmina21,False,2.9,60
Iota,CP,20,10,0,Leier21,True,1.5,30
Iota,CP,820,820,820,Li20h,False,1.1,2460
Iota,CP,270,36,0,Li21c,True,0.9,306
Iota,CP,240,240,240,Li21d,False,3.1,720
Iota,CP,186,186,186,Liu21,False,1.6,558
Iota,CP,64,64,64,Liu21f,False,3.0,192
Iota,CP,64,64,64,Liu21h,False,1.5,192
Iota,CP,30,30,30,Marot21,False,4,90
Iota,CP,30,15,15,Marot21,True,4.3,60
Iota,CP,36,36,36,McCallum21b,False,7,108
Iota,CP,12,24,0,Mlcochova21,True,6.2,36
Iota,CP,44,44,44,Moyo-Gwete21,False,15,132
Iota,CP,580,580,580,Muecksch21b,False,2.4,1740
Iota,CP,18,18,18,Riou21,False,13,54
Iota,CP,12,12,12,Rondinone21,False,1,36
Iota,CP,34,0,0,Saade21,True,0.7,34
Iota,CP,19,19,19,Sapkal21,False,1,57
Iota,CP,180,180,180,Shen21,False,1.3,540
Iota,CP,56,56,56,Shen21b,False,3.7,168
Iota,CP,30,30,30,Stamatatos21,False,4.1,90
Iota,CP,9,9,9,Stankov21,False,1,27
Iota,CP,34,34,34,Supasa21,False,2.5,102
Iota,CP,155,155,155,Tada21,False,0.9,465
Iota,CP,10,0,0,Tada21,True,1.8,10
Iota,CP,80,80,80,Tada21c,False,2.0,240
Iota,CP,56,56,56,Tada21d,False,1.6,168
Iota,CP,112,112,112,Tada21e,False,2.2,336
Iota,CP,72,72,72,Tang21,False,2.8,216
Iota,CP,192,192,192,Trinite21,False,1.1,576
Iota,CP,42,84,0,Trombetta21,True,3.5,126
Iota,CP,56,56,56,Uriu21,False,4.0,168
Iota,CP,60,90,30,Vacharathit21,True,8.0,180
Iota,CP,20,0,0,Vicenti21,True,0.6,20
Iota,CP,42,21,0,Vidal21,True,1.3,63
Iota,CP,125,125,125,Virtanen21,False,1,375
Iota,CP,400,400,400,Wang21b,False,1.4,1200
Iota,CP,40,40,40,Wang21d,False,2.1,120
Iota,CP,240,240,240,Wang21f,False,1,720
Iota,CP,102,102,102,Wang21g,False,1.0,306
Iota,CP,9,9,9,Weigang21,False,2.4,27
Iota,CP,52,52,52,Weisblum20,False,2.3,156
Iota,CP,80,80,80,Widera21,False,2,240
Iota,CP,20,20,0,Wilhelm21,True,2.85,40
Iota,CP,20,20,0,Wilhelm21,True,3.0,40
Iota,CP,90,20,0,Wilson21,True,1.4,110
Iota,CP,40,40,40,Yadav21b,False,2.4,120
Iota,CP,90,90,90,Yi21,False,1.8,270
Iota,CP,80,5,0,Zhang21c,True,1.3,85
Iota,CP,34,34,34,Zhou21b,False,11,102
Iota,CP,18,18,18,Zhou21c,False,3.2,54
Iota,CP,42,42,42,deSouza21,False,11,126
Iota,CP_1.3M,20,20,20,West21,False,3,60
Iota,CP_1M,40,40,40,Hu21,False,3.8,120
Iota,CP_2M,100,100,100,Li21c,False,1,300
Iota,CP_5M,100,100,100,Li21c,False,1,300
Iota,CP_6M,30,30,30,Edara21b,False,2,90
Iota,CP_6M,65,65,65,Virtanen21,False,1,195
Iota,CP_6M,20,20,20,West21,False,3.2,60
Iota,CP_8M,40,40,40,Hu21,False,4.2,120
Iota,CP_8M,100,100,100,Li21c,False,1,300
Iota,CP_Asymptomatic,24,24,24,Skelly21,False,10,72
Iota,CP_B.1.1.117+S:484K,1,1,1,Cele21,False,0.6,3
Iota,CP_BNT_infected,16,16,16,Turner21,False,1.5,48
Iota,CP_BNT_uninfected,36,36,36,Turner21,False,1,108
Iota,CP_M3,56,56,56,Planas21,False,1.5,168
Iota,CP_M6,50,50,50,Planas21,False,1.5,150
Iota,CP_M9,60,60,60,Planas21,False,1.2,180
Iota,CP_Mild,40,40,40,Faulkner21,False,4.1,120
Iota,CP_Mild,180,180,180,Rees-Spear21,False,1.2,540
Iota,CP_Mild,58,0,0,Saade21,True,2.0,58
Iota,CP_Mild,24,24,24,Skelly21,False,8.1,72
Iota,CP_Orleans,42,42,42,Planas21b,False,1.3,126
Iota,CP_Patient,34,34,34,Faulkner21,False,2.5,102
Iota,CP_Patient_M3,34,34,34,Faulkner21,False,1.7,102
Iota,CP_Severe,180,180,180,Rees-Spear21,False,1,540
Iota,CP_Severe,50,0,0,Saade21,True,1.75,50
Iota,CP_Strasbourg,78,78,78,Planas21b,False,1.4,234
Iota,CP_VAC_recovered,22,22,22,Jalkanen21,False,1,66
Iota,CP_WT_mice,7,7,7,Weigang21,False,2.3,21
Iota,CP_Wildtype,40,40,40,Collier21,False,3.3,120
Iota,CP_acute,60,60,60,Edara21,False,0.8,180
Iota,CP_acute,19,19,19,Edara21b,False,4.7,57
Iota,CP_first_wave,31,62,31,Tea21,True,4.0,124
Iota,CP_high_titer,131,131,131,Alenquer21,False,2.4,393
Iota,CP_high_titer,44,44,44,Wibmer21,False,14,132
Iota,CP_hosp,56,28,0,Caniels21,True,2.4,84
Iota,CP_infected,10,10,10,Goel21,False,2.9,30
Iota,CP_low_titer,123,123,123,Alenquer21,False,1.9,369
Iota,CP_low_titer,44,44,44,Wibmer21,False,8.5,132
Iota,CP_medium_titer,78,78,78,Alenquer21,False,1.8,234
Iota,CP_non-hosp,41,82,0,Caniels21,True,3.0,123
Iota,CP_recovered,26,26,26,Geers21,False,0.6,78
Iota,IVIG,24,24,24,Tang21,False,3.6,72
Kappa,BNT_infected,24,24,24,Reynolds21,False,14,72
Kappa,BNT_infected,0,24,0,Reynolds21,True,8.5,24
Kappa,CP,60,60,60,Andreano21,False,2.7,180
Kappa,CP,0,20,0,Annavajhala21b,True,4.1,20
Kappa,CP,20,0,0,Annavajhala21b,True,2.6,20
Kappa,CP,16,16,16,Arora21,False,2.4,48
Kappa,CP,86,86,86,Bates21,False,1,258
Kappa,CP,6,6,6,Becker21,False,5.5,18
Kappa,CP,214,107,0,Betton21,True,1.0,321
Kappa,CP,13,13,13,Brown21,False,0.8,39
Kappa,CP,244,244,244,Cantoni21,False,2.7,732
Kappa,CP,13,13,13,Cele21,False,8.5,39
Kappa,CP,105,105,105,Chen21,False,2.4,315
Kappa,CP,37,37,37,Collier21,False,1.7,111
Kappa,CP,34,34,34,Dejnirattisai21,False,3,102
Kappa,CP,36,36,36,Deng21,False,2,108
Kappa,CP,6,6,0,Diez21,True,3.15,12
Kappa,CP,315,315,315,Dupont21,False,2.1,945
Kappa,CP,60,60,60,Edara21,False,0.6,180
Kappa,CP,30,30,30,Edara21b,False,5.1,90
Kappa,CP,48,48,48,Edara21c,False,4.1,144
Kappa,CP,11,11,11,Graham21,False,2,33
Kappa,CP,50,50,50,Greaney21,False,1.7,150
Kappa,CP,48,48,48,Greaney21c,False,2,144
Kappa,CP,27,27,27,Hoffmann21,False,3,81
Kappa,CP,14,14,14,Hoffmann21b,False,2.1,42
Kappa,CP,30,30,30,Hoffmann21c,False,2.5,90
Kappa,CP,40,40,40,Hu21c,False,1.7,120
Kappa,CP,68,68,68,Imai21,False,1,204
Kappa,CP,150,150,150,Jalkanen21,False,1,450
Kappa,CP,30,30,30,Jangra21,False,2.5,90
Kappa,CP,9,9,9,Kemp21,False,1.3,27
Kappa,CP,20,20,20,Kuzmina21,False,2.9,60
Kappa,CP,20,10,0,Leier21,True,1.5,30
Kappa,CP,820,820,820,Li20h,False,1.1,2460
Kappa,CP,270,36,0,Li21c,True,0.9,306
Kappa,CP,240,240,240,Li21d,False,3.1,720
Kappa,CP,186,186,186,Liu21,False,1.6,558
Kappa,CP,64,64,64,Liu21f,False,3.0,192
Kappa,CP,64,64,64,Liu21h,False,1.5,192
Kappa,CP,30,30,30,Marot21,False,4,90
Kappa,CP,30,15,15,Marot21,True,4.3,60
Kappa,CP,36,36,36,McCallum21b,False,7,108
Kappa,CP,12,24,0,Mlcochova21,True,6.2,36
Kappa,CP,44,44,44,Moyo-Gwete21,False,15,132
Kappa,CP,580,580,580,Muecksch21b,False,2.4,1740
Kappa,CP,18,18,18,Riou21,False,13,54
Kappa,CP,12,12,12,Rondinone21,False,1,36
Kappa,CP,34,0,0,Saade21,True,0.7,34
Kappa,CP,19,19,19,Sapkal21,False,1,57
Kappa,CP,180,180,180,Shen21,False,1.3,540
Kappa,CP,56,56,56,Shen21b,False,3.7,168
Kappa,CP,30,30,30,Stamatatos21,False,4.1,90
Kappa,CP,9,9,9,Stankov21,False,1,27
Kappa,CP,34,34,34,Supasa21,False,2.5,102
Kappa,CP,155,155,155,Tada21,False,0.9,465
Kappa,CP,10,0,0,Tada21,True,1.8,10
Kappa,CP,80,80,80,Tada21c,False,2.0,240
Kappa,CP,56,56,56,Tada21d,False,1.6,168
Kappa,CP,112,112,112,Tada21e,False,2.2,336
Kappa,CP,72,72,72,Tang21,False,2.8,216
Kappa,CP,192,192,192,Trinite21,False,1.1,576
Kappa,CP,42,84,0,Trombetta21,True,3.5,126
Kappa,CP,56,56,56,Uriu21,False,4.0,168
Kappa,CP,60,90,30,Vacharathit21,True,8.0,180
Kappa,CP,20,0,0,Vicenti21,True,0.6,20
Kappa,CP,42,21,0,Vidal21,True,1.3,63
Kappa,CP,125,125,125,Virtanen21,False,1,375
Kappa,CP,400,400,400,Wang21b,False,1.4,1200
Kappa,CP,40,40,40,Wang21d,False,2.1,120
Kappa,CP,240,240,240,Wang21f,False,1,720
Kappa,CP,102,102,102,Wang21g,False,1.0,306
Kappa,CP,9,9,9,Weigang21,False,2.4,27
Kappa,CP,52,52,52,Weisblum20,False,2.3,156
Kappa,CP,80,80,80,Widera21,False,2,240
Kappa,CP,20,20,0,Wilhelm21,True,2.85,40
Kappa,CP,20,20,0,Wilhelm21,True,3.0,40
Kappa,CP,90,20,0,Wilson21,True,1.4,110
Kappa,CP,40,40,40,Yadav21b,False,2.4,120
Kappa,CP,90,90,90,Yi21,False,1.8,270
Kappa,CP,80,5,0,Zhang21c,True,1.3,85
Kappa,CP,34,34,34,Zhou21b,False,11,102
Kappa,CP,18,18,18,Zhou21c,False,3.2,54
Kappa,CP,42,42,42,deSouza21,False,11,126
Kappa,CP_1.3M,20,20,20,West21,False,3,60
Kappa,CP_1M,40,40,40,Hu21,False,3.8,120
Kappa,CP_2M,100,100,100,Li21c,False,1,300
Kappa,CP_5M,100,100,100,Li21c,False,1,300
Kappa,CP_6M,30,30,30,Edara21b,False,2,90
Kappa,CP_6M,65,65,65,Virtanen21,False,1,195
Kappa,CP_6M,20,20,20,West21,False,3.2,60
Kappa,CP_8M,40,40,40,Hu21,False,4.2,120
Kappa,CP_8M,100,100,100,Li21c,False,1,300
Kappa,CP_Asymptomatic,24,24,24,Skelly21,False,10,72
Kappa,CP_B.1.1.117+S:484K,1,1,1,Cele21,False,0.6,3
Kappa,CP_BNT_infected,16,16,16,Turner21,False,1.5,48
Kappa,CP_BNT_uninfected,36,36,36,Turner21,False,1,108
Kappa,CP_M3,56,56,56,Planas21,False,1.5,168
Kappa,CP_M6,50,50,50,Planas21,False,1.5,150
Kappa,CP_M9,60,60,60,Planas21,False,1.2,180
Kappa,CP_Mild,40,40,40,Faulkner21,False,4.1,120
Kappa,CP_Mild,180,180,180,Rees-Spear21,False,1.2,540
Kappa,CP_Mild,58,0,0,Saade21,True,2.0,58
Kappa,CP_Mild,24,24,24,Skelly21,False,8.1,72
Kappa,CP_Orleans,42,42,42,Planas21b,False,1.3,126
Kappa,CP_Patient,34,34,34,Faulkner21,False,2.5,102
Kappa,CP_Patient_M3,34,34,34,Faulkner21,False,1.7,102
Kappa,CP_Severe,180,180,180,Rees-Spear21,False,1,540
Kappa,CP_Severe,50,0,0,Saade21,True,1.75,50
Kappa,CP_Strasbourg,78,78,78,Planas21b,False,1.4,234
Kappa,CP_VAC_recovered,22,22,22,Jalkanen21,False,1,66
Kappa,CP_WT_mice,7,7,7,Weigang21,False,2.3,21
Kappa,CP_Wildtype,40,40,40,Collier21,False,3.3,120
Kappa,CP_acute,60,60,60,Edara21,False,0.8,180
Kappa,CP_acute,19,19,19,Edara21b,False,4.7,57
Kappa,CP_first_wave,31,62,31,Tea21,True,4.0,124
Kappa,CP_high_titer,131,131,131,Alenquer21,False,2.4,393
Kappa,CP_high_titer,44,44,44,Wibmer21,False,14,132
Kappa,CP_hosp,56,28,0,Caniels21,True,2.4,84
Kappa,CP_infected,10,10,10,Goel21,False,2.9,30
Kappa,CP_low_titer,123,123,123,Alenquer21,False,1.9,369
Kappa,CP_low_titer,44,44,44,Wibmer21,False,8.5,132
Kappa,CP_medium_titer,78,78,78,Alenquer21,False,1.8,234
Kappa,CP_non-hosp,41,82,0,Caniels21,True,3.0,123
Kappa,CP_recovered,26,26,26,Geers21,False,0.6,78
Kappa,IVIG,24,24,24,Tang21,False,3.6,72
