pattern,ab_name,class,fold,ref_name
Gamma,LY3853113,RBM Class II,0.6,Westendorf21
Gamma,P5A-1B9,RBM Class II,>100,Wang21f
Iota,Bamlanivimab/Etesevimab,,30,FDA21
Iota,Bamlanivimab/Etesevimab,,11,FDA21
Iota,Casirivimab/Imdevimab,,1.3,Zhou21c
Iota,Casirivimab/Imdevimab,,1,FDA21
Iota,Imdevimab,RBD Core Cluster I,1.2,Annavajhala21b
Iota,Imdevimab,RBD Core Cluster I,2.5,Annavajhala21b
Iota,Imdevimab,RBD Core Cluster I,0.4,Wang21e
Iota,Imdevimab,RBD Core Cluster I,1.1,Zhou21c
Iota,Sotrovimab,RBD Core Cluster I,0.9,Annavajhala21b
Iota,Sotrovimab,RBD Core Cluster I,1,Annavajhala21b
Iota,Sotrovimab,RBD Core Cluster I,0.6,Cathcart21
Iota,Sotrovimab,RBD Core Cluster I,0.6,FDA21
Iota,2-15,RBM Class I,>100,Annavajhala21b
Iota,2-15,RBM Class I,>100,Annavajhala21b
Iota,2-7,RBM Class I,0.5,Annavajhala21b
Iota,2-7,RBM Class I,4.2,Annavajhala21b
Iota,Casirivimab,RBM Class I,9.4,Annavajhala21b
Iota,Casirivimab,RBM Class I,9.3,Wang21e
Iota,Casirivimab,RBM Class I,34,Annavajhala21b
Iota,Casirivimab,RBM Class I,12,Zhou21c
Iota,Etesevimab,RBM Class I,1.4,Annavajhala21b
Iota,Etesevimab,RBM Class I,1.5,Annavajhala21b
Iota,Etesevimab,RBM Class I,1.3,Wang21e
Iota,Etesevimab,RBM Class I,1,FDA21
Iota,Etesevimab,RBM Class I,1.4,Zhang21c
Iota,Tixagevimab,RBM Class I,3.2,Annavajhala21b
Iota,Tixagevimab,RBM Class I,13,Annavajhala21b
Iota,1-57,RBM Class II,9.1,Annavajhala21b
Iota,1-57,RBM Class II,8.3,Annavajhala21b
Iota,Bamlanivimab,RBM Class II,>100,Annavajhala21b
Iota,Bamlanivimab,RBM Class II,>100,Annavajhala21b
Iota,Bamlanivimab,RBM Class II,>100,Wang21e
Iota,Bamlanivimab,RBM Class II,>100,FDA21
Iota,Bamlanivimab,RBM Class II,>100,FDA21
Iota,C121,RBM Class II,>100,Annavajhala21b
Iota,C121,RBM Class II,>100,Annavajhala21b
Iota,Cilgavimab,RBM Class II,0.8,Annavajhala21b
Iota,Cilgavimab,RBM Class II,1,Annavajhala21b
Iota,LY3853113,RBM Class II,0.7,Westendorf21
Kappa,ADG20,,2.5,Liu21f
Kappa,Bamlanivimab/Etesevimab,,5,Hoffmann21c
Kappa,Bamlanivimab/Etesevimab,,6,FDA21
Kappa,Casirivimab/Imdevimab,,1,Hoffmann21c
Kappa,Casirivimab/Imdevimab,,1,FDA21
Kappa,Casirivimab/Imdevimab,,1,FDA21
Kappa,Cilgavimab/Tixagevimab,,2,Liu21f
Kappa,Imdevimab,RBD Core Cluster I,1,Hoffmann21c
Kappa,Imdevimab,RBD Core Cluster I,1.5,Liu21f
Kappa,Imdevimab,RBD Core Cluster I,0.9,Wang21e
Kappa,Imdevimab,RBD Core Cluster I,2.1,Yao21
Kappa,Sotrovimab,RBD Core Cluster I,0.7,Cathcart21
Kappa,Sotrovimab,RBD Core Cluster I,0.7,FDA21
Kappa,Casirivimab,RBM Class I,4.1,Hoffmann21c
Kappa,Casirivimab,RBM Class I,5,Liu21f
Kappa,Casirivimab,RBM Class I,6,FDA21
Kappa,Casirivimab,RBM Class I,13,Wang21e
Kappa,Casirivimab,RBM Class I,14,Yao21
Kappa,Etesevimab,RBM Class I,0.8,Hoffmann21c
Kappa,Etesevimab,RBM Class I,0.4,Liu21f
Kappa,Etesevimab,RBM Class I,1.4,Wang21e
Kappa,Etesevimab,RBM Class I,1,Yao21
Kappa,Regdanvimab,RBM Class I,24,Ryu21b
Kappa,Tixagevimab,RBM Class I,0.7,Liu21f
Kappa,Bamlanivimab,RBM Class II,>100,Hoffmann21c
Kappa,Bamlanivimab,RBM Class II,>100,Liu21f
Kappa,Bamlanivimab,RBM Class II,>100,Wang21e
Kappa,Bamlanivimab,RBM Class II,>100,Yao21
Kappa,Bamlanivimab,RBM Class II,>100,FDA21
Kappa,Cilgavimab,RBM Class II,4.7,Liu21f
