iso_name,rx_name,ref_name,fold,titer,month,infection,num_result,variant
Alpha,CP,Supasa21,1.0,5.0,1,infected,1,Alpha
Alpha,CP,Supasa21,1.0,5.0,1,infected,1,Alpha
Beta,CP,Tada21,2.4,209.0,1,infected,1,Beta
Alpha,CP,Tada21,1.2,219.0,1,infected,1,Alpha
B.1.160,CP,Tada21,1.7,153.0,1,infected,1,B.1.160
B.1.1.298,CP,Tada21,0.5,483.0,1,infected,1,B.1.1.298
Alpha,CP,Tada21,1.2,186.0,1,infected,1,Alpha
B.1.160,CP,Tada21,1.5,150.0,1,infected,1,B.1.160
B.1.1.298,CP,Tada21,0.6,381.0,1,infected,1,B.1.1.298
Alpha,CP,Tada21,1.7,89.0,1,infected,1,Alpha
B.1.160,CP,Tada21,1.5,103.0,1,infected,1,B.1.160
B.1.1.298,CP,Tada21,0.6,259.0,1,infected,1,B.1.1.298
Alpha,CP,Tada21,1.7,38.0,1,infected,1,Alpha
B.1.160,CP,Tada21,1.1,60.0,1,infected,1,B.1.160
B.1.1.298,CP,Tada21,0.6,107.0,1,infected,1,B.1.1.298
Alpha,CP,Tada21,1.2,36.0,1,infected,1,Alpha
B.1.160,CP,Tada21,0.8,54.0,1,infected,1,B.1.160
B.1.1.298,CP,Tada21,0.4,104.0,1,infected,1,B.1.1.298
Alpha,CP,Tada21,0.6,138.0,1,infected,1,Alpha
B.1.160,CP,Tada21,1.4,63.0,1,infected,1,B.1.160
B.1.1.298,CP,Tada21,0.5,164.0,1,infected,1,B.1.1.298
Alpha,CP,Tada21,1.6,29.0,1,infected,1,Alpha
B.1.160,CP,Tada21,0.3,138.0,1,infected,1,B.1.160
B.1.1.298,CP,Tada21,0.6,79.0,1,infected,1,B.1.1.298
Alpha,CP,Tada21,1.7,63.0,1,infected,1,Alpha
B.1.160,CP,Tada21,1.1,101.0,1,infected,1,B.1.160
B.1.1.298,CP,Tada21,0.5,231.0,1,infected,1,B.1.1.298
Alpha,CP,Tada21,1.6,75.0,1,infected,1,Alpha
B.1.160,CP,Tada21,1.1,109.0,1,infected,1,B.1.160
B.1.1.298,CP,Tada21,0.8,163.0,1,infected,1,B.1.1.298
Alpha,CP,Tada21,1.7,80.0,1,infected,1,Alpha
B.1.160,CP,Tada21,1.3,106.0,1,infected,1,B.1.160
B.1.1.298,CP,Tada21,0.4,367.0,1,infected,1,B.1.1.298
Alpha,CP,Tada21,0.8,131.0,1,infected,1,Alpha
B.1.160,CP,Tada21,0.8,135.0,1,infected,1,B.1.160
B.1.1.298,CP,Tada21,0.4,260.0,1,infected,1,B.1.1.298
Alpha,CP,Tada21,2.5,154.0,1,infected,1,Alpha
B.1.160,CP,Tada21,1.4,272.0,1,infected,1,B.1.160
B.1.1.298,CP,Tada21,0.7,534.0,1,infected,1,B.1.1.298
Alpha,CP,Tada21,1.6,116.0,1,infected,1,Alpha
B.1.160,CP,Tada21,1.5,126.0,1,infected,1,B.1.160
B.1.1.298,CP,Tada21,0.4,443.0,1,infected,1,B.1.1.298
Alpha,CP,Tada21,1.9,113.0,1,infected,1,Alpha
B.1.160,CP,Tada21,1.6,137.0,1,infected,1,B.1.160
B.1.1.298,CP,Tada21,0.5,442.0,1,infected,1,B.1.1.298
Alpha,CP,Tada21,1.8,90.0,1,infected,1,Alpha
B.1.160,CP,Tada21,1.4,121.0,1,infected,1,B.1.160
B.1.1.298,CP,Tada21,0.4,427.0,1,infected,1,B.1.1.298
Alpha,CP,Tada21,0.4,114.0,1,infected,1,Alpha
B.1.160,CP,Tada21,0.4,108.0,1,infected,1,B.1.160
B.1.1.298,CP,Tada21,0.8,52.0,1,infected,1,B.1.1.298
Alpha,CP,Tada21,0.3,109.0,1,infected,1,Alpha
B.1.160,CP,Tada21,0.3,117.0,1,infected,1,B.1.160
B.1.1.298,CP,Tada21,0.7,52.0,1,infected,1,B.1.1.298
Alpha,CP,Tada21,1.1,100.0,1,infected,1,Alpha
B.1.160,CP,Tada21,1.4,82.0,1,infected,1,B.1.160
B.1.1.298,CP,Tada21,0.4,293.0,1,infected,1,B.1.1.298
Beta,CP,Tada21,1.2,102.0,1,infected,1,Beta
Beta,CP,Tada21,1.7,121.0,1,infected,1,Beta
Beta,CP,Tada21,2.2,240.0,1,infected,1,Beta
Beta,CP,Tada21,1.2,82.0,1,infected,1,Beta
Beta,CP,Tada21,1.0,231.0,1,infected,1,Beta
Beta,CP,Tada21,3.8,91.0,1,infected,1,Beta
Beta,CP,Tada21,1.1,271.0,1,infected,1,Beta
Beta,CP,Tada21,1.3,195.0,1,infected,1,Beta
Beta,CP,Tada21,2.6,166.0,1,infected,1,Beta
Alpha,CP,Tada21c,1.2,219.0,1,infected,1,Alpha
Beta,CP,Tada21c,1.7,152.0,1,infected,1,Beta
Alpha,CP,Tada21c,1.1,272.0,1,infected,1,Alpha
Beta,CP,Tada21c,3.8,80.0,1,infected,1,Beta
Alpha,CP,Tada21c,1.0,298.0,1,infected,1,Alpha
Beta,CP,Tada21c,3.5,87.0,1,infected,1,Beta
Alpha,CP,Tada21c,2.4,100.0,1,infected,1,Alpha
Beta,CP,Tada21c,11.1,22.0,1,infected,1,Beta
Alpha,CP,Tada21c,0.6,152.0,1,infected,1,Alpha
Beta,CP,Tada21c,1.4,67.0,1,infected,1,Beta
Alpha,CP,Tada21c,0.8,206.0,1,infected,1,Alpha
Beta,CP,Tada21c,1.4,117.0,1,infected,1,Beta
Alpha,CP,Tada21c,1.9,128.0,1,infected,1,Alpha
Beta,CP,Tada21c,7.8,31.0,1,infected,1,Beta
Alpha,CP,Tada21c,1.6,273.0,1,infected,1,Alpha
Beta,CP,Tada21c,3.9,111.0,1,infected,1,Beta
Beta,CP,Tada21d,2.0,90.0,1,infected,1,Beta
Lambda,CP,Tada21d,1.4,124.0,1,infected,1,Lambda
Beta,CP,Tada21d,14.4,25.0,1,infected,1,Beta
Lambda,CP,Tada21d,6.0,60.0,1,infected,1,Lambda
Beta,CP,Tada21d,5.2,100.0,1,infected,1,Beta
Lambda,CP,Tada21d,2.8,187.0,1,infected,1,Lambda
Beta,CP,Tada21d,3.2,119.0,1,infected,1,Beta
Lambda,CP,Tada21d,1.9,199.0,1,infected,1,Lambda
Beta,CP,Tada21d,10.8,56.0,1,infected,1,Beta
Lambda,CP,Tada21d,22.3,27.0,1,infected,1,Lambda
Beta,CP,Tada21d,10.9,37.0,1,infected,1,Beta
Lambda,CP,Tada21d,3.3,121.0,1,infected,1,Lambda
Beta,CP,Tada21d,1.1,68.0,1,infected,1,Beta
Lambda,CP,Tada21d,2.7,29.0,1,infected,1,Lambda
Beta,CP,Tada21d,3.6,69.0,1,infected,1,Beta
Lambda,CP,Tada21d,2.7,93.0,1,infected,1,Lambda
Alpha,CP,Tada21e,0.8,312.0,>=2,infected,1,Alpha
Beta,CP,Tada21e,3.6,69.0,>=2,infected,1,Beta
Delta,CP,Tada21e,4.5,56.0,>=2,infected,1,Delta
Delta/K417N,CP,Tada21e,2.2,112.0,>=2,infected,1,Delta/K417N
Lambda,CP,Tada21e,2.7,94.0,>=2,infected,1,Lambda
Alpha,CP,Tada21e,0.8,223.0,>=2,infected,1,Alpha
Beta,CP,Tada21e,1.9,91.0,>=2,infected,1,Beta
Delta,CP,Tada21e,2.1,84.0,>=2,infected,1,Delta
Delta/K417N,CP,Tada21e,1.5,121.0,>=2,infected,1,Delta/K417N
Lambda,CP,Tada21e,1.4,124.0,>=2,infected,1,Lambda
Alpha,CP,Tada21e,0.6,140.0,>=2,infected,1,Alpha
Beta,CP,Tada21e,1.1,68.0,>=2,infected,1,Beta
Delta,CP,Tada21e,0.4,185.0,>=2,infected,1,Delta
Delta/K417N,CP,Tada21e,0.6,132.0,>=2,infected,1,Delta/K417N
Lambda,CP,Tada21e,2.7,29.0,>=2,infected,1,Lambda
Alpha,CP,Tada21e,1.1,375.0,>=2,infected,1,Alpha
Beta,CP,Tada21e,10.7,38.0,>=2,infected,1,Beta
Delta,CP,Tada21e,8.0,51.0,>=2,infected,1,Delta
Delta/K417N,CP,Tada21e,6.0,68.0,>=2,infected,1,Delta/K417N
Lambda,CP,Tada21e,3.4,121.0,>=2,infected,1,Lambda
Alpha,CP,Tada21e,4.1,146.0,>=2,infected,1,Alpha
Beta,CP,Tada21e,10.6,57.0,>=2,infected,1,Beta
Delta,CP,Tada21e,200.7,3.0,>=2,infected,1,Delta
Delta/K417N,CP,Tada21e,7.8,77.0,>=2,infected,1,Delta/K417N
Lambda,CP,Tada21e,22.3,27.0,>=2,infected,1,Lambda
Alpha,CP,Tada21e,0.9,416.0,>=2,infected,1,Alpha
Beta,CP,Tada21e,3.2,119.0,>=2,infected,1,Beta
Delta,CP,Tada21e,11.3,34.0,>=2,infected,1,Delta
Delta/K417N,CP,Tada21e,2.7,142.0,>=2,infected,1,Delta/K417N
Lambda,CP,Tada21e,1.9,199.0,>=2,infected,1,Lambda
Alpha,CP,Tada21e,0.9,556.0,>=2,infected,1,Alpha
Beta,CP,Tada21e,5.2,100.0,>=2,infected,1,Beta
Delta,CP,Tada21e,4.4,119.0,>=2,infected,1,Delta
Delta/K417N,CP,Tada21e,5.8,89.0,>=2,infected,1,Delta/K417N
Lambda,CP,Tada21e,2.8,187.0,>=2,infected,1,Lambda
Alpha,CP,Tada21e,1.3,273.0,>=2,infected,1,Alpha
Beta,CP,Tada21e,14.4,25.0,>=2,infected,1,Beta
Delta,CP,Tada21e,3.8,94.0,>=2,infected,1,Delta
Delta/K417N,CP,Tada21e,3.6,100.0,>=2,infected,1,Delta/K417N
Lambda,CP,Tada21e,5.9,61.0,>=2,infected,1,Lambda
Epsilon,CP,Tang21,1.0,10.0,1,infected,1,Epsilon
Epsilon,CP,Tang21,1.0,10.0,1,infected,1,Epsilon
Alpha,CP,Tang21,1.0,10.0,1,infected,1,Alpha
Alpha,CP,Tang21,1.0,10.0,1,infected,1,Alpha
Gamma,CP,Tang21,1.0,10.0,1,infected,1,Gamma
Gamma,CP,Tang21,1.0,10.0,1,infected,1,Gamma
Beta,CP,Tang21,1.0,10.0,1,infected,1,Beta
Beta,CP,Tang21,1.0,10.0,1,infected,1,Beta
Alpha,CP,Tang21,2.8,708.0,1,infected,1,Alpha
Alpha,CP,Tang21,2.8,708.0,1,infected,1,Alpha
Beta,CP,Tang21,20.5,97.0,1,infected,1,Beta
Beta,CP,Tang21,20.5,97.0,1,infected,1,Beta
Alpha,CP,Tang21,1.2,1675.0,1,infected,1,Alpha
Alpha,CP,Tang21,1.2,1675.0,1,infected,1,Alpha
Beta,CP,Tang21,2.7,716.0,1,infected,1,Beta
Beta,CP,Tang21,2.7,716.0,1,infected,1,Beta
Alpha,CP,Tang21,2.7,1337.0,1,infected,1,Alpha
Alpha,CP,Tang21,2.7,1337.0,1,infected,1,Alpha
Beta,CP,Tang21,9.9,361.0,1,infected,1,Beta
Beta,CP,Tang21,9.9,361.0,1,infected,1,Beta
Alpha,CP,Tang21,2.6,1557.0,1,infected,1,Alpha
Alpha,CP,Tang21,2.6,1557.0,1,infected,1,Alpha
Beta,CP,Tang21,8.3,486.0,1,infected,1,Beta
Beta,CP,Tang21,8.3,486.0,1,infected,1,Beta
Alpha,CP,Tang21,1.2,1826.0,1,infected,1,Alpha
Alpha,CP,Tang21,1.2,1826.0,1,infected,1,Alpha
Beta,CP,Tang21,4.1,554.0,1,infected,1,Beta
Beta,CP,Tang21,4.1,554.0,1,infected,1,Beta
Alpha,CP,Tang21,2.2,2325.0,1,infected,1,Alpha
Alpha,CP,Tang21,2.2,2325.0,1,infected,1,Alpha
Beta,CP,Tang21,4.7,1111.0,1,infected,1,Beta
Beta,CP,Tang21,4.7,1111.0,1,infected,1,Beta
Epsilon,CP,Tang21,4.5,191.0,1,infected,1,Epsilon
Epsilon,CP,Tang21,4.5,191.0,1,infected,1,Epsilon
Alpha,CP,Tang21,8.4,101.0,1,infected,1,Alpha
Alpha,CP,Tang21,8.4,101.0,1,infected,1,Alpha
Gamma,CP,Tang21,6.9,123.0,1,infected,1,Gamma
Gamma,CP,Tang21,6.9,123.0,1,infected,1,Gamma
Beta,CP,Tang21,16.4,52.0,1,infected,1,Beta
Beta,CP,Tang21,16.4,52.0,1,infected,1,Beta
Epsilon,CP,Tang21,0.8,157.0,1,infected,1,Epsilon
Epsilon,CP,Tang21,0.8,157.0,1,infected,1,Epsilon
Alpha,CP,Tang21,3.4,35.0,1,infected,1,Alpha
Alpha,CP,Tang21,3.4,35.0,1,infected,1,Alpha
Gamma,CP,Tang21,12.0,10.0,1,infected,1,Gamma
Gamma,CP,Tang21,12.0,10.0,1,infected,1,Gamma
Beta,CP,Tang21,12.0,10.0,1,infected,1,Beta
Beta,CP,Tang21,12.0,10.0,1,infected,1,Beta
Epsilon,CP,Tang21,0.7,99.0,1,infected,1,Epsilon
Epsilon,CP,Tang21,0.7,99.0,1,infected,1,Epsilon
Alpha,CP,Tang21,1.8,37.0,1,infected,1,Alpha
Alpha,CP,Tang21,1.8,37.0,1,infected,1,Alpha
Gamma,CP,Tang21,2.8,24.0,1,infected,1,Gamma
Gamma,CP,Tang21,2.8,24.0,1,infected,1,Gamma
Beta,CP,Tang21,6.7,10.0,1,infected,1,Beta
Beta,CP,Tang21,6.7,10.0,1,infected,1,Beta
Epsilon,CP,Tang21,1.7,123.0,1,infected,1,Epsilon
Epsilon,CP,Tang21,1.7,123.0,1,infected,1,Epsilon
Alpha,CP,Tang21,3.2,65.0,1,infected,1,Alpha
Alpha,CP,Tang21,3.2,65.0,1,infected,1,Alpha
Gamma,CP,Tang21,21.1,10.0,1,infected,1,Gamma
Gamma,CP,Tang21,21.1,10.0,1,infected,1,Gamma
Beta,CP,Tang21,21.1,10.0,1,infected,1,Beta
Beta,CP,Tang21,21.1,10.0,1,infected,1,Beta
Epsilon,CP,Tang21,2.9,93.0,1,infected,1,Epsilon
Epsilon,CP,Tang21,2.9,93.0,1,infected,1,Epsilon
Alpha,CP,Tang21,4.5,60.0,1,infected,1,Alpha
Alpha,CP,Tang21,4.5,60.0,1,infected,1,Alpha
Gamma,CP,Tang21,5.0,54.0,1,infected,1,Gamma
Gamma,CP,Tang21,5.0,54.0,1,infected,1,Gamma
Beta,CP,Tang21,26.8,10.0,1,infected,1,Beta
Beta,CP,Tang21,26.8,10.0,1,infected,1,Beta
Epsilon,CP,Tang21,1.4,147.0,1,infected,1,Epsilon
Epsilon,CP,Tang21,1.4,147.0,1,infected,1,Epsilon
Alpha,CP,Tang21,1.2,168.0,1,infected,1,Alpha
Alpha,CP,Tang21,1.2,168.0,1,infected,1,Alpha
Gamma,CP,Tang21,1.8,112.0,1,infected,1,Gamma
Gamma,CP,Tang21,1.8,112.0,1,infected,1,Gamma
Beta,CP,Tang21,4.4,47.0,1,infected,1,Beta
Beta,CP,Tang21,4.4,47.0,1,infected,1,Beta
Epsilon,CP,Tang21,3.0,123.0,1,infected,1,Epsilon
Epsilon,CP,Tang21,3.0,123.0,1,infected,1,Epsilon
Alpha,CP,Tang21,2.9,128.0,1,infected,1,Alpha
Alpha,CP,Tang21,2.9,128.0,1,infected,1,Alpha
Gamma,CP,Tang21,2.9,126.0,1,infected,1,Gamma
Gamma,CP,Tang21,2.9,126.0,1,infected,1,Gamma
Beta,CP,Tang21,14.2,26.0,1,infected,1,Beta
Beta,CP,Tang21,14.2,26.0,1,infected,1,Beta
Epsilon,CP,Tang21,9.7,25.0,1,infected,1,Epsilon
Epsilon,CP,Tang21,9.7,25.0,1,infected,1,Epsilon
Alpha,CP,Tang21,4.6,53.0,1,infected,1,Alpha
Alpha,CP,Tang21,4.6,53.0,1,infected,1,Alpha
Gamma,CP,Tang21,0.8,287.0,1,infected,1,Gamma
Gamma,CP,Tang21,0.8,287.0,1,infected,1,Gamma
Beta,CP,Tang21,2.3,107.0,1,infected,1,Beta
Beta,CP,Tang21,2.3,107.0,1,infected,1,Beta
B,CP,Trinite21,1.4,251.0,1,infected,1,B
Alpha,CP,Trinite21,0.8,446.0,1,infected,1,Alpha
B,CP,Trinite21,1.4,493.0,1,infected,1,B
Alpha,CP,Trinite21,0.7,923.0,1,infected,1,Alpha
B,CP,Trinite21,0.7,1541.0,1,infected,1,B
Alpha,CP,Trinite21,0.5,2557.0,1,infected,1,Alpha
B,CP,Trinite21,1.0,30.0,1,infected,1,B
Alpha,CP,Trinite21,1.0,30.0,1,infected,1,Alpha
B,CP,Trinite21,1.0,30.0,1,infected,1,B
Alpha,CP,Trinite21,1.0,30.0,1,infected,1,Alpha
B,CP,Trinite21,1.0,30.0,1,infected,1,B
Alpha,CP,Trinite21,1.0,30.0,1,infected,1,Alpha
B,CP,Trinite21,0.9,574.0,1,infected,1,B
Alpha,CP,Trinite21,0.7,717.0,1,infected,1,Alpha
B,CP,Trinite21,3.1,1783.0,1,infected,1,B
Alpha,CP,Trinite21,1.1,4871.0,1,infected,1,Alpha
B,CP,Trinite21,1.5,669.0,1,infected,1,B
Alpha,CP,Trinite21,1.5,675.0,1,infected,1,Alpha
B,CP,Trinite21,2.0,745.0,1,infected,1,B
Alpha,CP,Trinite21,7.4,203.0,1,infected,1,Alpha
B,CP,Trinite21,1.3,1012.0,1,infected,1,B
Alpha,CP,Trinite21,0.9,1530.0,1,infected,1,Alpha
B,CP,Trinite21,1.1,1439.0,1,infected,1,B
Alpha,CP,Trinite21,1.3,1254.0,1,infected,1,Alpha
B,CP,Trinite21,2.6,1797.0,1,infected,1,B
Alpha,CP,Trinite21,1.4,3239.0,1,infected,1,Alpha
B,CP,Trinite21,1.2,3523.0,1,infected,1,B
Alpha,CP,Trinite21,1.0,3982.0,1,infected,1,Alpha
B,CP,Trinite21,1.3,3550.0,1,infected,1,B
Alpha,CP,Trinite21,0.4,12647.0,1,infected,1,Alpha
B,CP,Trinite21,1.2,4299.0,1,infected,1,B
Alpha,CP,Trinite21,1.3,4044.0,1,infected,1,Alpha
B,CP,Trinite21,1.1,7016.0,1,infected,1,B
Alpha,CP,Trinite21,1.2,6499.0,1,infected,1,Alpha
B,CP,Trinite21,0.8,9750.0,1,infected,1,B
Alpha,CP,Trinite21,1.1,7750.0,1,infected,1,Alpha
B,CP,Trinite21,1.1,12455.0,1,infected,1,B
Alpha,CP,Trinite21,3.0,4677.0,1,infected,1,Alpha
B,CP,Trinite21,5.8,30.0,>=2,infected,1,B
Alpha,CP,Trinite21,0.8,206.0,>=2,infected,1,Alpha
B,CP,Trinite21,4.6,72.0,>=2,infected,1,B
Alpha,CP,Trinite21,0.7,460.0,>=2,infected,1,Alpha
B,CP,Trinite21,2.8,206.0,>=2,infected,1,B
Alpha,CP,Trinite21,1.2,493.0,>=2,infected,1,Alpha
B,CP,Trinite21,2.0,219.0,>=2,infected,1,B
Alpha,CP,Trinite21,1.2,380.0,>=2,infected,1,Alpha
B,CP,Trinite21,1.8,328.0,>=2,infected,1,B
Alpha,CP,Trinite21,1.3,450.0,>=2,infected,1,Alpha
B,CP,Trinite21,2.3,366.0,>=2,infected,1,B
Alpha,CP,Trinite21,1.5,549.0,>=2,infected,1,Alpha
B,CP,Trinite21,3.4,416.0,>=2,infected,1,B
Alpha,CP,Trinite21,1.1,1255.0,>=2,infected,1,Alpha
B,CP,Trinite21,2.9,520.0,>=2,infected,1,B
Alpha,CP,Trinite21,1.4,1053.0,>=2,infected,1,Alpha
B,CP,Trinite21,3.1,691.0,>=2,infected,1,B
Alpha,CP,Trinite21,2.0,1077.0,>=2,infected,1,Alpha
B,CP,Trinite21,3.5,805.0,>=2,infected,1,B
Alpha,CP,Trinite21,1.2,2353.0,>=2,infected,1,Alpha
B,CP,Trinite21,1.8,982.0,>=2,infected,1,B
Alpha,CP,Trinite21,2.4,751.0,>=2,infected,1,Alpha
B,CP,Trinite21,1.8,1227.0,>=2,infected,1,B
Alpha,CP,Trinite21,1.3,1772.0,>=2,infected,1,Alpha
B,CP,Trinite21,2.5,1642.0,>=2,infected,1,B
Alpha,CP,Trinite21,2.7,1486.0,>=2,infected,1,Alpha
B,CP,Trinite21,1.4,582.0,1,infected,1,B
Alpha,CP,Trinite21,0.8,988.0,1,infected,1,Alpha
B,CP,Trinite21,2.5,1800.0,>=2,infected,1,B
Alpha,CP,Trinite21,1.5,2916.0,>=2,infected,1,Alpha
B,CP,Trinite21,1.0,4911.0,>=2,infected,1,B
Alpha,CP,Trinite21,2.4,1973.0,>=2,infected,1,Alpha
B,CP,Trinite21,2.5,4763.0,>=2,infected,1,B
Alpha,CP,Trinite21,1.0,12130.0,>=2,infected,1,Alpha
B,CP,Trinite21,3.1,110.0,>=2,infected,1,B
Alpha,CP,Trinite21,1.7,206.0,>=2,infected,1,Alpha
B,CP,Trinite21,21.5,222.0,>=2,infected,1,B
Alpha,CP,Trinite21,1.7,2830.0,>=2,infected,1,Alpha
B,CP,Trinite21,1.9,446.0,>=2,infected,1,B
Alpha,CP,Trinite21,0.6,1366.0,>=2,infected,1,Alpha
B,CP,Trinite21,2.3,532.0,>=2,infected,1,B
Alpha,CP,Trinite21,1.5,817.0,>=2,infected,1,Alpha
B,CP,Trinite21,3.4,1052.0,>=2,infected,1,B
Alpha,CP,Trinite21,1.5,2409.0,>=2,infected,1,Alpha
B,CP,Trinite21,2.4,1828.0,>=2,infected,1,B
Alpha,CP,Trinite21,1.2,3787.0,>=2,infected,1,Alpha
B,CP,Trinite21,1.0,2372.0,>=2,infected,1,B
Alpha,CP,Trinite21,1.4,1667.0,>=2,infected,1,Alpha
B,CP,Trinite21,3.0,2283.0,>=2,infected,1,B
Alpha,CP,Trinite21,2.1,3224.0,>=2,infected,1,Alpha
B,CP,Trinite21,2.9,3645.0,>=2,infected,1,B
Alpha,CP,Trinite21,3.4,3055.0,>=2,infected,1,Alpha
B,CP,Trinite21,0.8,4120.0,>=2,infected,1,B
Alpha,CP,Trinite21,1.4,2214.0,>=2,infected,1,Alpha
B,CP,Trinite21,1.1,5999.0,>=2,infected,1,B
Alpha,CP,Trinite21,0.8,8028.0,>=2,infected,1,Alpha
B,CP,Trinite21,0.7,7608.0,>=2,infected,1,B
Alpha,CP,Trinite21,2.6,1974.0,>=2,infected,1,Alpha
B,CP,Trinite21,1.0,8602.0,>=2,infected,1,B
Alpha,CP,Trinite21,1.6,5514.0,>=2,infected,1,Alpha
B,CP,Trinite21,0.6,12239.0,>=2,infected,1,B
Alpha,CP,Trinite21,2.2,3103.0,>=2,infected,1,Alpha
B,CP,Trinite21,0.8,14267.0,>=2,infected,1,B
Alpha,CP,Trinite21,2.3,4766.0,>=2,infected,1,Alpha
B,CP,Trinite21,1.0,14580.0,>=2,infected,1,B
Alpha,CP,Trinite21,1.2,11818.0,>=2,infected,1,Alpha
B,CP,Trinite21,3.2,1811.0,1,infected,1,B
Alpha,CP,Trinite21,0.4,14580.0,1,infected,1,Alpha
B,CP,Trinite21,1.2,3724.0,1,infected,1,B
Alpha,CP,Trinite21,0.3,14580.0,1,infected,1,Alpha
B,CP,Trinite21,1.8,7898.0,1,infected,1,B
B.1,CP,Trinite21,0.3,1486.0,>=2,infected,1,B.1
Alpha,CP,Trinite21,1.0,14580.0,1,infected,1,Alpha
B,CP,Trinite21,1.0,1066.0,1,infected,1,B
Alpha,CP,Trinite21,0.5,1910.0,1,infected,1,Alpha
B,CP,Trinite21,0.7,11769.0,1,infected,1,B
Alpha,CP,Trinite21,1.0,8793.0,1,infected,1,Alpha
B,CP,Trinite21,1.0,14580.0,1,infected,1,B
Alpha,CP,Trinite21,1.0,14580.0,1,infected,1,Alpha
B,CP,Trinite21,1.0,14580.0,1,infected,1,B
Alpha,CP,Trinite21,1.0,14580.0,1,infected,1,Alpha
B,CP,Trinite21,2.3,30.0,1,infected,1,B
Alpha,CP,Trinite21,0.4,174.0,1,infected,1,Alpha
B,CP,Trinite21,0.9,249.0,1,infected,1,B
Alpha,CP,Trinite21,1.1,203.0,1,infected,1,Alpha
B,CP,Trinite21,1.0,14580.0,1,infected,1,B
B.1,CP,Trinite21,1.0,14580.0,1,infected,1,B.1
B,CP,Trinite21,1.7,582.0,1,infected,1,B
B.1,CP,Trinite21,1.2,828.0,1,infected,1,B.1
B,CP,Trinite21,1.0,30.0,1,infected,1,B
B.1,CP,Trinite21,1.0,30.0,1,infected,1,B.1
B,CP,Trinite21,0.7,11769.0,1,infected,1,B
B.1,CP,Trinite21,1.0,8593.0,1,infected,1,B.1
B,CP,Trinite21,1.0,30.0,1,infected,1,B
B.1,CP,Trinite21,1.0,30.0,1,infected,1,B.1
B,CP,Trinite21,1.8,1066.0,1,infected,1,B
B.1,CP,Trinite21,1.9,1026.0,1,infected,1,B.1
B,CP,Trinite21,3.9,3724.0,1,infected,1,B
B.1,CP,Trinite21,3.3,4442.0,1,infected,1,B.1
B,CP,Trinite21,8.1,1811.0,1,infected,1,B
B.1,CP,Trinite21,2.5,5856.0,1,infected,1,B.1
B,CP,Trinite21,1.0,14580.0,1,infected,1,B
B.1,CP,Trinite21,1.0,14580.0,1,infected,1,B.1
B,CP,Trinite21,1.7,1541.0,1,infected,1,B
B.1,CP,Trinite21,2.2,1151.0,1,infected,1,B.1
B,CP,Trinite21,1.8,7898.0,1,infected,1,B
B.1,CP,Trinite21,1.0,14580.0,1,infected,1,B.1
B,CP,Trinite21,2.7,1783.0,1,infected,1,B
B.1,CP,Trinite21,0.9,5507.0,1,infected,1,B.1
B,CP,Trinite21,1.0,30.0,1,infected,1,B
B.1,CP,Trinite21,1.0,30.0,1,infected,1,B.1
Alpha,CP,Trinite21,0.3,2353.0,>=2,infected,1,Alpha
B.1,CP,Trinite21,0.3,2807.0,>=2,infected,1,B.1
Alpha,CP,Trinite21,0.6,1077.0,>=2,infected,1,Alpha
B.1,CP,Trinite21,0.3,2130.0,>=2,infected,1,B.1
Alpha,CP,Trinite21,0.6,988.0,1,infected,1,Alpha
B.1,CP,Trinite21,0.7,828.0,1,infected,1,B.1
Alpha,CP,Trinite21,0.6,1910.0,1,infected,1,Alpha
B.1,CP,Trinite21,1.0,1026.0,1,infected,1,B.1
Alpha,CP,Trinite21,0.6,2557.0,1,infected,1,Alpha
B.1,CP,Trinite21,1.3,1151.0,1,infected,1,B.1
Alpha,CP,Trinite21,0.4,4871.0,1,infected,1,Alpha
B.1,CP,Trinite21,0.3,5507.0,1,infected,1,B.1
Alpha,CP,Trinite21,0.1,14580.0,1,infected,1,Alpha
B.1,CP,Trinite21,0.3,5856.0,1,infected,1,B.1
Alpha,CP,Trinite21,0.3,14580.0,1,infected,1,Alpha
B.1,CP,Trinite21,0.8,4442.0,1,infected,1,B.1
Alpha,CP,Trinite21,0.5,14580.0,1,infected,1,Alpha
B.1,CP,Trinite21,0.5,14580.0,1,infected,1,B.1
Alpha,CP,Trinite21,1.0,30.0,1,infected,1,Alpha
B.1,CP,Trinite21,1.0,30.0,1,infected,1,B.1
Alpha,CP,Trinite21,1.0,30.0,1,infected,1,Alpha
B.1,CP,Trinite21,1.0,30.0,1,infected,1,B.1
Alpha,CP,Trinite21,1.0,30.0,1,infected,1,Alpha
B.1,CP,Trinite21,1.0,30.0,1,infected,1,B.1
Alpha,CP,Trinite21,0.2,174.0,1,infected,1,Alpha
B.1,CP,Trinite21,0.4,70.0,1,infected,1,B.1
Alpha,CP,Trinite21,0.1,206.0,>=2,infected,1,Alpha
B.1,CP,Trinite21,0.2,173.0,>=2,infected,1,B.1
Alpha,CP,Trinite21,1.3,8793.0,1,infected,1,Alpha
B.1,CP,Trinite21,1.4,8593.0,1,infected,1,B.1
Alpha,CP,Trinite21,1.0,14580.0,1,infected,1,Alpha
B.1,CP,Trinite21,1.0,14580.0,1,infected,1,B.1
Alpha,CP,Trinite21,1.0,14580.0,1,infected,1,Alpha
B.1,CP,Trinite21,1.0,14580.0,1,infected,1,B.1
